MAKE_MODEL CODE;VARIABLE CODE(S);MODEL_MANUFACTURER *INFO*;MODEL *INFO*;SENSOR_TYPES *INFO*
DRUCK_DPS8000 series 813A;ATMPRESS;;DPS8000 series 813A;BAROMETER_ELECTRIC
DRUCK_ELECTRIC BAROMETER;ATMPRESS;;ELECTRIC BAROMETER;BAROMETER_ELECTRIC
DRUCK_RPT200;ATMPRESS;;RPT200;BAROMETER_ELECTRIC
DRUCK_RPT350;ATMPRESS;;RPT350;BAROMETER_ELECTRIC
DWD_FLEXIBLE PT100 MAGNETS;SST;;FLEXIBLE PT100 MAGNETS;SST_HULL_CONTACT_SENSOR
E+E ELEKTRONIK_E+E08;HUM;;E+E08;HYGROMETER_ELECTRONIC
E+E ELEKTRONIK_E+E33;AIRTEMP;HUM;;E+E33;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
EIGENBRODT_ALCOHOL THERMOMETER;AIRTEMP;Eigenbrodt (5603);ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
EIGENBRODT_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;Eigenbrodt (5603);ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ALCOHOL
EIGENBRODT_MERCURY THERMOMETER;AIRTEMP;Eigenbrodt (5603);MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
EIGENBRODT_THERMOMETER;AIRTEMP;Eigenbrodt (5603);THERMOMETER;THERMOMETER_GENERIC
ELIASSON_CBME80;ATT_BACKSCATTER;;CBME80;CEILOMETER
EXTECH_RH300;AIRTEMP;HUM;;RH300;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
FALMOUTH SCIENTIFIC_OTM-S-212;SST;Falmouth Scientific Inc (5591);OTM-S-212;SST_GENERIC
FISCHER_103PM;ATMPRESS;;103PM;BAROMETER_ANEROID_HAND
FISCHER_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
FISHER_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
FISHER_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
FUESS_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
FUESS_F5220;ATMPRESS;;F5220;BAROMETER_ANEROID_HAND
FUGRO_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;FUGRO OCEANOR (1531);ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
FUGRO_ELECTRIC BAROMETER;ATMPRESS;FUGRO OCEANOR (1531);ELECTRIC BAROMETER;BAROMETER_ELECTRIC
FURUNO AIRMAR_PB100;AIRTEMP;WD;WS;ATMPRESS;;PB100;THERMOMETER_ELECTRIC;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS;BAROMETER_ELECTRIC
FURUNO_ANEMOMETER;WD;;ANEMOMETER;ANEMOMETER_WD_GENERIC
FURUNO_HT-MSE;SST;;HT-MSE;SST_IMMERSED_THERMOMETER
FURUNO_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
FURUNO_T2000;SST;;T2000;SST_IMMERSED_THERMOMETER
FURUNO_ULTRASONIC WINDSENSOR;WD;WS;;ULTRASONIC WINDSENSOR;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
GARMIN_CUP VANE WINDSENSOR;WD;WS;;CUP VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
