MAKE_MODEL CODE;VARIABLE CODE(S);MODEL_MANUFACTURER *INFO*;MODEL *INFO*;SENSOR_TYPES *INFO*
OMEGA_PRMAG;SST;;PRMAG;SST_HULL_CONTACT_SENSOR
OREGONSCIENTIFIC_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;;ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
OSAKA NUNOTANI SEIKI_4PN;WD;WS;;4PN;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
OSAKA NUNOTANI SEIKI_ANEROID DIGITAL BAROMETER;ATMPRESS;;ANEROID DIGITAL BAROMETER;BAROMETER_ANEROID_DIGITAL
OSAKA NUNOTANI SEIKI_CUP VANE WINDSENSOR;WD;WS;;CUP VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
OSAKA NUNOTANI SEIKI_CUP WINDSENSOR;WS;;CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
OSAKA NUNOTANI SEIKI_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
OSAKA NUNOTANI SEIKI_ULTRASONIC WINDSENSOR;WD;WS;;ULTRASONIC WINDSENSOR;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
OSAKA NUNOTANI SEIKI_VANE WINDSENSOR;WD;;VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
OTA KEIKI SEISAKUSHO_9A-05;ATMPRESS;;9A-05;BAROMETER_ANEROID_HAND
OTA KEIKI SEISAKUSHO_9A-05 II;ATMPRESS;;9A-05 II;BAROMETER_ANEROID_HAND
OTA KEIKI SEISAKUSHO_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
OTA KEIKI SEISAKUSHO_BAROMETER;ATMPRESS;;BAROMETER;BAROMETER_ANEROID_HAND
OTA KEIKI SEISAKUSHO_ELECTRIC BAROMETER;ATMPRESS;;ELECTRIC BAROMETER;BAROMETER_ELECTRIC
OTA KEIKI SEISAKUSHO_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
OTA KEIKI SEISAKUSHO_OT-403;ATMPRESS;;OT-403;BAROMETER_ANEROID_HAND
OTA KEIKI SEISAKUSHO_OZ-9;ATMPRESS;;OZ-9;BAROMETER_ANEROID_HAND
OTA KEIKI SEISAKUSHO_TN-11;ATMPRESS;;TN-11;BAROMETER_ANEROID_HAND
OTA KEIKI SEISAKUSHO_TN-6;ATMPRESS;;TN-6;BAROMETER_ANEROID_HAND
PAROSCIENTIFIC_DIGIQUARTZ;ATMPRESS;;DIGIQUARTZ;BAROMETER_ELECTRIC
PAROSCIENTIFIC_DIGIQUARTZ 1016B-1;ATMPRESS;;DIGIQUARTZ 1016B-1;BAROMETER_ELECTRIC
PAROSCIENTIFIC_DIGIQUARTZ 710;ATMPRESS;;DIGIQUARTZ 710;BAROMETER_ELECTRIC
PAROSCIENTIFIC_MET3A;HUM;;MET3A;HYGROMETER_ELECTRONIC
PCE INSTRUMENTS_PCE-HVAC 3;AIRTEMP;HUM;;PCE-HVAC 3;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
PENNWALT_FA185260E;ATMPRESS;;FA185260E;BAROMETER_ANEROID_HAND
PENTRONIC_PT100;AIRTEMP;;PT100;THERMOMETER_ELECTRIC
PRAECISIONS_MARINEBARO_SUNDO61;ATMPRESS;;MARINEBARO_SUNDO61;BAROMETER_ANEROID_HAND
PROSTAT_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;;ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
PROSTAT_ELECTRONIC HYGROMETER;HUM;;ELECTRONIC HYGROMETER;HYGROMETER_ELECTRONIC
PROSTAT_PHT771;AIRTEMP;HUM;;PHT771;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
PROVA_AVM-05;WS;;AVM-05;ANEMOMETER_PROPELLER_VANE_WS
PROVA_AVM-07;WS;;AVM-07;ANEMOMETER_PROPELLER_VANE_WS
PROVA_PROPELLER WINDSENSOR;WS;;PROPELLER WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
RABER_METEOGRAF;ATMPRESS;;METEOGRAF;BAROGRAPH_GENERIC
RADIOSHACK_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;;ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
REGULUS_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
RG_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
RG_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
RG_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
RHYTHM WATCH_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
RMS MARINE SERVICE_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
RM YOUNG_05103;WD;WS;RM YOUNG (3611);5103;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
RM YOUNG_05106;WD;WS;RM YOUNG (3611);5106;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
RM YOUNG_26700;AIRTEMP;RM YOUNG (3611);26700;THERMOMETER_ELECTRIC
RM YOUNG_26800;AIRTEMP;RM YOUNG (3611);26800;THERMOMETER_ELECTRIC
RM YOUNG_41342;AIRTEMP;RM YOUNG (3611);41342;THERMOMETER_ELECTRIC
RM YOUNG_41372;AIRTEMP;HUM;RM YOUNG (3611);41372;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
RM YOUNG_41382;AIRTEMP;HUM;RM YOUNG (3611);41382;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
RM YOUNG_61201;ATMPRESS;RM YOUNG (3611);61201;BAROMETER_ELECTRIC
RM YOUNG_61302;ATMPRESS;RM YOUNG (3611);61302;BAROMETER_ELECTRIC
RM YOUNG_85106;WD;WS;RM YOUNG (3611);85106;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
RM YOUNG_ALCOHOL THERMOMETER;AIRTEMP;RM YOUNG (3611);ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
RMYOUNG_ANEMOMETER;WS;WD;RM YOUNG (3611);ANEMOMETER;ANEMOMETER_WS_GENERIC;ANEMOMETER_WD_GENERIC
RM YOUNG_BAROMETER;ATMPRESS;RM YOUNG (3611);BAROMETER;BAROMETER_GENERIC
RM YOUNG_CUP VANE WINDSENSOR;WD;WS;RM YOUNG (3611);CUP VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
RM YOUNG_CUP WINDSENSOR;WS;RM YOUNG (3611);CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
RM YOUNG_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;RM YOUNG (3611);ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
RM YOUNG_ELECTRIC BAROMETER;ATMPRESS;RM YOUNG (3611);ELECTRIC BAROMETER;BAROMETER_ELECTRIC
RM YOUNG_PROPELLER VANE WINDSENSOR;WD;WS;RM YOUNG (3611);PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
RMYOUNG_THERMOMETER;AIRTEMP;RM YOUNG (3611);THERMOMETER;THERMOMETER_GENERIC
RM YOUNG_ULTRASONIC WINDSENSOR;WD;WS;RM YOUNG (3611);ULTRASONIC WINDSENSOR;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
RM YOUNG_VANE WINDSENSOR;WD;RM YOUNG (3611);VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
ROBERT E. WHITE_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
ROSEMOUNT_244;AIRTEMP;;244;THERMOMETER_ELECTRIC
ROSEMOUNT_4A-BS-1904;AIRTEMP;;4A-BS-1904;THERMOMETER_ELECTRIC
ROSEMOUNT_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;;ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
ROSEMOUNT_PT100;AIRTEMP;;PT100;THERMOMETER_ELECTRIC
ROSEMOUNT_ST2401;AIRTEMP;;ST2401;THERMOMETER_ELECTRIC
ROTRONIC_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;;ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
ROTRONIC_ELECTRONIC HYGROMETER;HUM;;ELECTRONIC HYGROMETER;HYGROMETER_ELECTRONIC
ROTRONIC_HC2-S3;AIRTEMP;HUM;;HC2-S3;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
ROTRONIC_HC-S3;AIRTEMP;HUM;;HC-S3;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
ROTRONIC_HYGROCLIP;AIRTEMP;HUM;;HYGROCLIP;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
ROTRONIC_HYGROCLIP 2;AIRTEMP;HUM;;HYGROCLIP 2;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
ROTRONIC_HYGROPALM;AIRTEMP;HUM;;HYGROPALM;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
ROTRONIC_HYGROPALM HP22;AIRTEMP;HUM;;HYGROPALM HP22;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
ROTRONIC_MP100;AIRTEMP;HUM;;MP100;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
ROTRONIC_MP101A;AIRTEMP;HUM;;MP101A;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
ROTRONIC_MP408A;AIRTEMP;;MP408A;THERMOMETER_ELECTRIC
ROTRONIC_S3C03;AIRTEMP;HUM;;S3C03;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
ROTRONIC_THERMOMETER;AIRTEMP;;THERMOMETER;THERMOMETER_GENERIC
SAM ELECTRONICS_CUP WINDSENSOR;WS;;CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
SAM ELECTRONICS_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;;ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
SAM Electronics_ELECTRIC BAROMETER;ATMPRESS;;ELECTRIC BAROMETER;BAROMETER_ELECTRIC
SAM ELECTRONICS_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
SAM ELECTRONICS_VANE WINDSENSOR;WD;;VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
SAMSUNG_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
SAMSUNG HEAVY INDUSTRY_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
SANOH INSTRUMENT CO. LTD._61;ATMPRESS;;61;BAROMETER_ANEROID_HAND
SANOH INSTRUMENT CO. LTD._ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
SANOH INSTRUMENT CO. LTD._BAROMETER;ATMPRESS;;BAROMETER;BAROMETER_GENERIC
SANOH INSTRUMENT CO. LTD._CS-21;ATMPRESS;;CS-21;BAROMETER_ANEROID_HAND
SANOH INSTRUMENT CO. LTD._ELECTRIC BAROMETER;ATMPRESS;;ELECTRIC BAROMETER;BAROMETER_ELECTRIC
SANOH INSTRUMENT CO. LTD._S8;ATMPRESS;;S8;BAROMETER_ANEROID_HAND
SANOH INSTRUMENT CO. LTD._S8 II;ATMPRESS;;S8 II;BAROMETER_ANEROID_HAND
SANOH INSTRUMENT CO. LTD._SBR-502;ATMPRESS;;SBR-502;BAROMETER_ANEROID_HAND
SATO KEIRSOKI_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
SATO KEIRSOKI_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;;ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
SATO KEIRSOKI_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
SATO KEIRYOKI_553;ATMPRESS;;553;BAROMETER_ANEROID_HAND
SATO KEIRYOKI_560;ATMPRESS;;560;BAROMETER_ANEROID_HAND
SATO KEIRYOKI_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
SATO KEIRYOKI_SIGMA;ATMPRESS;;SIGMA;BAROMETER_ANEROID_HAND
SATO KEIRYOKI_SIGMA II;ATMPRESS;;SIGMA II;BAROMETER_ANEROID_HAND
SATO_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
SCHNEIDER_6100;AIRTEMP;;6100;THERMOMETER_MERCURY_DRY_BULB
SCHNEIDER_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
SCHNEIDER_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
SCHNEIDER_THERMOMETER;AIRTEMP;;THERMOMETER;THERMOMETER_GENERIC
SEABIRD_SBE21;SST;SSS;Sea-Bird Electronics, Inc. (3618);SBE21;SST_TSG;SSS_TSG
SEABIRD_SBE37;SUB_SAL;SUB_T;Sea-Bird Electronics, Inc. (3618);SBE37;CTD_CNDC;CTD_TEMP
SEABIRD_SBE38;SST;Sea-Bird Electronics, Inc. (3618);SBE38;SST_IMMERSED_THERMOMETER
SEABIRD_SBE3S;SST;Sea-Bird Electronics, Inc. (3618);SBE3S;SST_IMMERSED_THERMOMETER
SEABIRD_SBE45;SST;SSS;Sea-Bird Electronics, Inc. (3618);SBE45;SST_TSG;SSS_TSG
SEABIRD_SBE48;SST;Sea-Bird Electronics, Inc. (3618);SBE48;SST_HULL_CONTACT_SENSOR
SEABIRD_SBE49;SUB_PRESS;SUB_SAL;SUB_T;Fisheries and Oceans Canada (5370);SBE49;CTD_PRES;CTD_CNDC;CTD_TEMP
SESTREL_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
SESTREL_MERCURY BAROMETER;ATMPRESS;;MERCURY BAROMETER;BAROMETER_MERCURY
SETRA_370;ATMPRESS;;370;BAROMETER_ELECTRIC
SETRA_470;ATMPRESS;;470;BAROMETER_ELECTRIC
SETRA_CS100;ATMPRESS;;CS100;BAROMETER_ELECTRIC
SETRA_ELECTRIC BAROMETER;ATMPRESS;;ELECTRIC BAROMETER;BAROMETER_ELECTRIC
SHANGHAI_272-A;AIRTEMP;;272-A;THERMOMETER_ALCOHOL
SHANGHAI_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
SHANGHAI_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
SHANGHAI SHEN HANG_CZ-5;WD;WS;;CZ-5;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
SHANGHAI YIPIN INSTRUMENTS AND METERS_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
SHATZ_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
SIMRAD_CUP WINDSENSOR;WS;SIMRAD, Kongsberg Maritime AS (2283);CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
SIMRAD_VANE WINDSENSOR;WD;SIMRAD, Kongsberg Maritime AS (2283);VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
SIPPICAN_DEEPBLUE;SUB_T;DEPTH;SIPPICAN (3624);DEEPBLUE;SWT_XBT;DEP_XBT
SIPPICAN_FASTDEEP;SUB_T;DEPTH;SIPPICAN (3624);FASTDEEP;SWT_XBT;DEP_XBT
SIPPICAN_T10;SUB_T;DEPTH;SIPPICAN (3624);T10;SWT_XBT;DEP_XBT
SIPPICAN_T11;SUB_T;DEPTH;SIPPICAN (3624);T11;SWT_XBT;DEP_XBT
SIPPICAN_T4;SUB_T;DEPTH;SIPPICAN (3624);T4;SWT_XBT;DEP_XBT
SIPPICAN_T5;SUB_T;DEPTH;SIPPICAN (3624);T5;SWT_XBT;DEP_XBT
SIPPICAN_T5_20;SUB_T;DEPTH;SIPPICAN (3624);T5_20;SWT_XBT;DEP_XBT
SIPPICAN_T6;SUB_T;DEPTH;SIPPICAN (3624);T6;SWT_XBT;DEP_XBT
SIPPICAN_T7;SUB_T;DEPTH;SIPPICAN (3624);T7;SWT_XBT;DEP_XBT
SIPPICAN_XCTD-1;SUB_SAL;SUB_T;CNDC;DEPTH;SIPPICAN (3624);XCTD-1;SWS_XCTD;SWT_XCTD;COND_XCTD;DEP_XCTD
SIPPICAN_XCTD-2;SUB_SAL;SUB_T;CNDC;DEPTH;SIPPICAN (3624);XCTD-2;SWS_XCTD;SWT_XCTD;COND_XCTD;DEP_XCTD
SIPPICAN_XCTD-3;SUB_SAL;SUB_T;CNDC;DEPTH;SIPPICAN (3624);XCTD-3;SWS_XCTD;SWT_XCTD;COND_XCTD;DEP_XCTD
SKYWATCH_XPLORER3;WS;;XPLORER3;ANEMOMETER_PROPELLER_VANE_WS
SPERRY MARINE_CUP VANE WINDSENSOR;WD;WS;;CUP VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
SPERRY MARINE_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
SPERRY MARINE_ULTRASONIC WINDSENSOR;WD;WS;;ULTRASONIC WINDSENSOR;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
SPER SCIENTIFIC_736700;HUM;;736700;PSYCHROMETER_ALCOHOL
SPER SCIENTIFIC_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
STOCKBURGER_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
SUNDO_TYPE 61;ATMPRESS;;TYPE 61;BAROMETER_ANEROID_HAND
SUZUKI SEISAKUSHO_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
TAKAHASHI_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
TAMAYA_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
TAYLOR_5525;AIRTEMP;;5525;THERMOMETER_ALCOHOL
TAYLOR_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
TAYLOR_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
TAYLOR_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;;ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
TAYLOR_ELECTRIC BAROMETER;ATMPRESS;;ELECTRIC BAROMETER;BAROMETER_ELECTRIC
TAYLOR_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_ELECTRIC
TAYLOR_THERMOMETER;AIRTEMP;;THERMOMETER;THERMOMETER_GENERIC
TERASAKI ELECTRICAL_WE300;ATMPRESS;;WE300;BAROMETER_ELECTRIC
TEREN_AM4822;WS;;AM4822;ANEMOMETER_PROPELLER_VANE_WS
TESS_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
THEODOR FREIDRICH_5005;ATMPRESS;;5005;BAROMETER_ELECTRIC
THEODOR FRIEDRICHS_ALCOHOL THERMOMETER;SST;;ALCOHOL THERMOMETER;SST_BUCKET_THERMOMETER
THEODOR FRIEDRICHS_MERCURY THERMOMETER;SST;;MERCURY THERMOMETER;SST_BUCKET_THERMOMETER
THEODOR FRIEDRICHS_PT100;SST;;PT100;SST_IMMERSED_THERMOMETER
THIES CLIMA_4.3324.31;WD;WS;;4.3324.31;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
THIES CLIMA_4.3336.21;WD;WS;;4.3336.21;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
THIES CLIMA_4.3336.31.001;WD;WS;;4.3336.31.001;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
THIES CLIMA_4.3824.40.260;WD;WS;;4.3824.40.260;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
THIESCLIMA_ANEMOMETER;WD;WS;;ANEMOMETER;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
THIES CLIMA_CUP VANE WINDSENSOR;WD;WS;;CUP VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
THIES CLIMA_CUP WINDSENSOR;WS;;CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
THIES CLIMA_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;;ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
THIES CLIMA_ELECTRIC BAROMETER;ATMPRESS;;ELECTRIC BAROMETER;BAROMETER_ELECTRIC
THIES CLIMA_HYGRO-THERMO TRANSMITTER COMPACT;AIRTEMP;;HYGRO-THERMO TRANSMITTER COMPACT;THERMOMETER_ELECTRIC
THIES CLIMA_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
THIES CLIMA_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
THIES CLIMA_ULTRASONIC2D;WD;WS;;ULTRASONIC2D;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
THIES CLIMA_ULTRASONIC WINDSENSOR;WD;WS;;ULTRASONIC WINDSENSOR;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
THIES CLIMA_VANE WINDSENSOR;WD;;VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
TIANJIN_8908;WS;;8908;ANEMOMETER_PROPELLER_VANE_WS
TIANJIN_DEM6;WD;WS;;DEM6;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
TOKAIDO_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
TOKYO KEIKI_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
TOMAYA_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
TOMAYA_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
TOMEI_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
TOYAMA_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
TROCKON_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
TSK_DEEPBLUE;SUB_T;DEPTH;TSURUMI-SEIKI CO., LTD (4634);DEEPBLUE;SWT_XBT;DEP_XBT
TSK_T10;SUB_T;DEPTH;TSURUMI-SEIKI CO., LTD (4634);T10;SWT_XBT;DEP_XBT
TSK_T4;SUB_T;DEPTH;TSURUMI-SEIKI CO., LTD (4634);T4;SWT_XBT;DEP_XBT
TSK_T5;SUB_T;DEPTH;TSURUMI-SEIKI CO., LTD (4634);T5;SWT_XBT;DEP_XBT
TSK_T6;SUB_T;DEPTH;TSURUMI-SEIKI CO., LTD (4634);T6;SWT_XBT;DEP_XBT
TSK_T7;SUB_T;DEPTH;TSURUMI-SEIKI CO., LTD (4634);T7;SWT_XBT;DEP_XBT
TSK_XCTD-1;SUB_SAL;SUB_T;CNDC;DEPTH;TSURUMI-SEIKI CO., LTD (4634);XCTD-1;SWS_XCTD;SWT_XCTD;COND_XCTD;DEP_XCTD
TSK_XCTD-2;SUB_SAL;SUB_T;CNDC;DEPTH;TSURUMI-SEIKI CO., LTD (4634);XCTD-2;SWS_XCTD;SWT_XCTD;COND_XCTD;DEP_XCTD
TSK_XCTD-3;SUB_SAL;SUB_T;CNDC;DEPTH;TSURUMI-SEIKI CO., LTD (4634);XCTD-3;SWS_XCTD;SWT_XCTD;COND_XCTD;DEP_XCTD
UINS_YTH-104;AIRTEMP;HUM;;YTH-104;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
UNIVERSITY OF SOUTHAMPTON_ISAR;SST;University of Southampton (1801);ISAR;SST_RADIATION_THERMOMETER
US GOVERNMENT_AIRFLO;ATMPRESS;;AIRFLO;BAROMETER_ANEROID_HAND
UTSUKI KEIKI_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
UTSUKI KEIKI CO LTD_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
VAISALA_CL31;ATT_BACKSCATTER;VAISALA (3883);CL31;CEILOMETER
VAISALA_CUPS_WAA151_VANE_WAV151;WD;VAISALA (3883);CUPS_WAA151_VANE_WAV151;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
VAISALA_DPA21;ATMPRESS;VAISALA (3883);DPA21;BAROMETER_ELECTRIC
